,0,1,2,3,4
334,crucifix,representation of the cross on which Jesus died,['crucifix'],335,0
335,cruise_ship,a passenger ship used commercially for pleasure cruises,"['cruise_ship', 'cruise_liner']",336,0
336,police_cruiser,a car in which policemen cruise the streets,"['police_cruiser', 'patrol_car', 'police_car', 'squad_car']",337,0
337,crumb,small piece of e.g. bread or cake,['crumb'],338,0
338,crutch,a wooden or metal staff that fits under the armpit and reaches to the ground,['crutch'],339,0
339,cub_(animal),the young of certain carnivorous mammals such as the bear or wolf or lion,['cub_(animal)'],340,0
340,cube,a block in the (approximate) shape of a cube,"['cube', 'square_block']",341,0
341,cucumber,cylindrical green fruit with thin green rind and white flesh eaten as a vegetable,"['cucumber', 'cuke']",342,0
342,cufflink,jewelry consisting of linked buttons used to fasten the cuffs of a shirt,['cufflink'],343,0
343,cup,a small open container usually used for drinking; usually has a handle,['cup'],344,0
344,trophy_cup,a metal award or cup-shaped vessel with handles that is awarded as a trophy to a competition winner,['trophy_cup'],345,0
345,cupboard,a small room (or recess) or cabinet used for storage space,"['cupboard', 'closet']",346,0
346,cupcake,small cake baked in a muffin tin,['cupcake'],347,0
347,hair_curler,a cylindrical tube around which the hair is wound to curl it,"['hair_curler', 'hair_roller', 'hair_crimper']",348,0
348,curling_iron,a cylindrical home appliance that heats hair that has been curled around it,['curling_iron'],349,0
349,curtain,hanging cloth used as a blind (especially for a window),"['curtain', 'drapery']",350,0
350,cushion,a soft bag filled with air or padding such as feathers or foam rubber,['cushion'],351,0
351,cylinder,a cylindrical container,['cylinder'],352,0
352,cymbal,a percussion instrument consisting of a concave brass disk,['cymbal'],353,0
353,dagger,a short knife with a pointed blade used for piercing or stabbing,['dagger'],354,0
354,dalmatian,a large breed having a smooth white coat with black or brown spots,['dalmatian'],355,0
355,dartboard,a circular board of wood or cork used as the target in the game of darts,['dartboard'],356,0
356,date_(fruit),sweet edible fruit of the date palm with a single long woody seed,['date_(fruit)'],357,0
357,deck_chair,a folding chair for use outdoors; a wooden frame supports a length of canvas,"['deck_chair', 'beach_chair']",358,0
358,deer,distinguished from Bovidae by the male's having solid deciduous antlers,"['deer', 'cervid']",359,0
359,dental_floss,a soft thread for cleaning the spaces between the teeth,"['dental_floss', 'floss']",360,0
360,desk,a piece of furniture with a writing surface and usually drawers or other compartments,['desk'],361,0
361,detergent,a surface-active chemical widely used in industry and laundering,['detergent'],362,0
362,diaper,garment consisting of a folded cloth drawn up between the legs and fastened at the waist,['diaper'],363,0
363,diary,yearly planner book,"['diary', 'journal']",364,0
364,die,a small cube with 1 to 6 spots on the six faces; used in gambling,"['die', 'dice']",365,0
365,dinghy,a small boat of shallow draft with seats and oars with which it is propelled,"['dinghy', 'dory', 'rowboat']",366,0
366,dining_table,a table at which meals are served,['dining_table'],367,0
367,tux,semiformal evening dress for men,"['tux', 'tuxedo']",368,0
368,dish,a piece of dishware normally used as a container for holding or serving food,['dish'],369,0
369,dish_antenna,directional antenna consisting of a parabolic reflector,['dish_antenna'],370,0
370,dishrag,a cloth for washing dishes or cleaning in general,"['dishrag', 'dishcloth']",371,0
371,dishtowel,a towel for drying dishes,"['dishtowel', 'tea_towel']",372,0
372,dishwasher,a machine for washing dishes,"['dishwasher', 'dishwashing_machine']",373,0
373,dishwasher_detergent,dishsoap or dish detergent designed for use in dishwashers,"['dishwasher_detergent', 'dishwashing_detergent', 'dishwashing_liquid', 'dishsoap']",374,0
374,dispenser,a container so designed that the contents can be used in prescribed amounts,['dispenser'],375,0
375,diving_board,a springboard from which swimmers can dive,['diving_board'],376,0
376,Dixie_cup,a disposable cup made of paper; for holding drinks,"['Dixie_cup', 'paper_cup']",377,0
377,dog,a common domesticated dog,['dog'],378,0
378,dog_collar,a collar for a dog,['dog_collar'],379,0
379,doll,a toy replica of a HUMAN (NOT AN ANIMAL),['doll'],380,0
380,dollar,a piece of paper money worth one dollar,"['dollar', 'dollar_bill', 'one_dollar_bill']",381,0
381,dollhouse,a house so small that it is likened to a child's plaything,"['dollhouse', ""doll's_house""]",382,0
382,dolphin,any of various small toothed whales with a beaklike snout; larger than porpoises,['dolphin'],383,0
383,domestic_ass,domestic beast of burden descended from the African wild ass; patient but stubborn,"['domestic_ass', 'donkey']",384,0
384,doorknob,a knob used to open a door (often called `doorhandle' in Great Britain),"['doorknob', 'doorhandle']",385,0
385,doormat,a mat placed outside an exterior door for wiping the shoes before entering,"['doormat', 'welcome_mat']",386,0
386,doughnut,a small ring-shaped friedcake,"['doughnut', 'donut']",387,0
387,dove,any of numerous small pigeons,['dove'],388,0
388,dragonfly,slender-bodied non-stinging insect having iridescent wings that are outspread at rest,['dragonfly'],389,0
389,drawer,a boxlike container in a piece of furniture; made so as to slide in and out,['drawer'],390,0
390,underdrawers,underpants worn by men,"['underdrawers', 'boxers', 'boxershorts']",391,0
391,dress,a one-piece garment for a woman; has skirt and bodice,"['dress', 'frock']",392,0
392,dress_hat,a man's hat with a tall crown; usually covered with silk or with beaver fur,"['dress_hat', 'high_hat', 'opera_hat', 'silk_hat', 'top_hat']",393,0
393,dress_suit,formalwear consisting of full evening dress for men,['dress_suit'],394,0
394,dresser,a cabinet with shelves,['dresser'],395,0
395,drill,a tool with a sharp rotating point for making holes in hard materials,['drill'],396,0
396,drone,an aircraft without a pilot that is operated by remote control,['drone'],397,0
397,dropper,pipet consisting of a small tube with a vacuum bulb at one end for drawing liquid in and releasing it a drop at a time,"['dropper', 'eye_dropper']",398,0
398,drum_(musical_instrument),a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,['drum_(musical_instrument)'],399,0
399,drumstick,a stick used for playing a drum,['drumstick'],400,0
400,duck,small web-footed broad-billed swimming bird,['duck'],401,0
401,duckling,young duck,['duckling'],402,0
402,duct_tape,a wide silvery adhesive tape,['duct_tape'],403,0
403,duffel_bag,a large cylindrical bag of heavy cloth (does not include suitcases),"['duffel_bag', 'duffle_bag', 'duffel', 'duffle']",404,0
404,dumbbell,an exercising weight with two ball-like ends connected by a short handle,['dumbbell'],405,0
405,dumpster,a container designed to receive and transport and dump waste,['dumpster'],406,0
406,dustpan,a short-handled receptacle into which dust can be swept,['dustpan'],407,0
407,eagle,large birds of prey noted for their broad wings and strong soaring flight,['eagle'],408,0
408,earphone,device for listening to audio that is held over or inserted into the ear,"['earphone', 'earpiece', 'headphone']",409,0
409,earplug,a soft plug that is inserted into the ear canal to block sound,['earplug'],410,0
410,earring,jewelry to ornament the ear,['earring'],411,0
411,easel,an upright tripod for displaying something (usually an artist's canvas),['easel'],412,0
412,eclair,oblong cream puff,['eclair'],413,0
413,eel,an elongate fish with fatty flesh,['eel'],414,0
414,egg,oval reproductive body of a fowl (especially a hen) used as food,"['egg', 'eggs']",415,0
415,egg_roll,minced vegetables and meat wrapped in a pancake and fried,"['egg_roll', 'spring_roll']",416,0
416,egg_yolk,the yellow spherical part of an egg,"['egg_yolk', 'yolk_(egg)']",417,0
417,eggbeater,a mixer for beating eggs or whipping cream,"['eggbeater', 'eggwhisk']",418,0
418,eggplant,egg-shaped vegetable having a shiny skin typically dark purple,"['eggplant', 'aubergine']",419,0
419,electric_chair,a chair-shaped instrument of execution by electrocution,['electric_chair'],420,0
420,refrigerator,a refrigerator in which the coolant is pumped around by an electric motor,['refrigerator'],421,0
421,elephant,a common elephant,['elephant'],422,0
422,elk,large northern deer with enormous flattened antlers in the male,"['elk', 'moose']",423,0
423,envelope,"a flat (usually rectangular) container for a letter, thin package, etc.",['envelope'],424,0
424,eraser,an implement used to erase something,['eraser'],425,0
425,escargot,edible snail usually served in the shell with a sauce of melted butter and garlic,['escargot'],426,0
426,eyepatch,a protective cloth covering for an injured eye,['eyepatch'],427,0
427,falcon,birds of prey having long pointed powerful wings adapted for swift flight,['falcon'],428,0
428,fan,a device for creating a current of air by movement of a surface or surfaces,['fan'],429,0
429,faucet,a regulator for controlling the flow of a liquid from a reservoir,"['faucet', 'spigot', 'tap']",430,0
430,fedora,a hat made of felt with a creased crown,['fedora'],431,0
431,ferret,domesticated albino variety of the European polecat bred for hunting rats and rabbits,['ferret'],432,0
432,Ferris_wheel,a large wheel with suspended seats that remain upright as the wheel rotates,['Ferris_wheel'],433,0
433,ferry,a boat that transports people or vehicles across a body of water and operates on a regular schedule,"['ferry', 'ferryboat']",434,0
434,fig_(fruit),fleshy sweet pear-shaped yellowish or purple fruit eaten fresh or preserved or dried,['fig_(fruit)'],435,0
435,fighter_jet,a high-speed military or naval airplane designed to destroy enemy targets,"['fighter_jet', 'fighter_aircraft', 'attack_aircraft']",436,0
436,figurine,a small carved or molded figure,['figurine'],437,0
437,file_cabinet,office furniture consisting of a container for keeping papers in order,"['file_cabinet', 'filing_cabinet']",438,0
438,file_(tool),a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,['file_(tool)'],439,0
439,fire_alarm,an alarm that is tripped off by fire or smoke,"['fire_alarm', 'smoke_alarm']",440,0
440,fire_engine,large trucks that carry firefighters and equipment to the site of a fire,"['fire_engine', 'fire_truck']",441,0
441,fire_extinguisher,a manually operated device for extinguishing small fires,"['fire_extinguisher', 'extinguisher']",442,0
442,fire_hose,a large hose that carries water from a fire hydrant to the site of the fire,['fire_hose'],443,0
443,fireplace,an open recess in a wall at the base of a chimney where a fire can be built,['fireplace'],444,0
444,fireplug,an upright hydrant for drawing water to use in fighting a fire,"['fireplug', 'fire_hydrant', 'hydrant']",445,0
445,first-aid_kit,kit consisting of a set of bandages and medicines for giving first aid,['first-aid_kit'],446,0
446,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,['fish'],447,0
447,fish_(food),the flesh of fish used as food,['fish_(food)'],448,0
448,fishbowl,a transparent bowl in which small fish are kept,"['fishbowl', 'goldfish_bowl']",449,0
449,fishing_rod,a rod that is used in fishing to extend the fishing line,"['fishing_rod', 'fishing_pole']",450,0
450,flag,emblem usually consisting of a rectangular piece of cloth of distinctive design (do not include pole),['flag'],451,0
451,flagpole,a tall staff or pole on which a flag is raised,"['flagpole', 'flagstaff']",452,0
452,flamingo,large pink web-footed bird with down-bent bill,['flamingo'],453,0
453,flannel,a soft light woolen fabric; used for clothing,['flannel'],454,0
454,flap,"any broad thin covering attached at one edge, such as a mud flap next to a wheel or a flap on an airplane wing",['flap'],455,0
455,flash,a lamp for providing momentary light to take a photograph,"['flash', 'flashbulb']",456,0
456,flashlight,a small portable battery-powered electric lamp,"['flashlight', 'torch']",457,0
457,fleece,a soft bulky fabric with deep pile; used chiefly for clothing,['fleece'],458,0
458,flip-flop_(sandal),a backless sandal held to the foot by a thong between two toes,['flip-flop_(sandal)'],459,0
459,flipper_(footwear),a shoe to aid a person in swimming,"['flipper_(footwear)', 'fin_(footwear)']",460,0
460,flower_arrangement,a decorative arrangement of flowers,"['flower_arrangement', 'floral_arrangement']",461,0
461,flute_glass,a tall narrow wineglass,"['flute_glass', 'champagne_flute']",462,0
462,foal,a young horse,['foal'],463,0
463,folding_chair,a chair that can be folded flat for storage,['folding_chair'],464,0
464,food_processor,"a kitchen appliance for shredding, blending, chopping, or slicing food",['food_processor'],465,0
465,football_(American),the inflated oblong ball used in playing American football,['football_(American)'],466,0
466,football_helmet,a padded helmet with a face mask to protect the head of football players,['football_helmet'],467,0
467,footstool,a low seat or a stool to rest the feet of a seated person,"['footstool', 'footrest']",468,0
468,fork,cutlery used for serving and eating food,['fork'],469,0
469,forklift,an industrial vehicle with a power operated fork in front that can be inserted under loads to lift and move them,['forklift'],470,0
470,freight_car,a railway car that carries freight,['freight_car'],471,0
471,French_toast,bread slice dipped in egg and milk and fried,['French_toast'],472,0
472,freshener,anything that freshens air by removing or covering odor,"['freshener', 'air_freshener']",473,0
473,frisbee,"a light, plastic disk propelled with a flip of the wrist for recreation or competition",['frisbee'],474,0
474,frog,a tailless stout-bodied amphibians with long hind limbs for leaping,"['frog', 'toad', 'toad_frog']",475,0
475,fruit_juice,drink produced by squeezing or crushing fruit,['fruit_juice'],476,0
476,frying_pan,a pan used for frying foods,"['frying_pan', 'frypan', 'skillet']",477,0
477,fudge,soft creamy candy,['fudge'],478,0
478,funnel,a cone-shaped utensil used to channel a substance into a container with a small mouth,['funnel'],479,0
479,futon,a pad that is used for sleeping on the floor or on a raised frame,['futon'],480,0
480,gag,restraint put into a person's mouth to prevent speaking or shouting,"['gag', 'muzzle']",481,0
481,garbage,a receptacle where waste can be discarded,['garbage'],482,0
482,garbage_truck,a truck for collecting domestic refuse,['garbage_truck'],483,0
483,garden_hose,a hose used for watering a lawn or garden,['garden_hose'],484,0
484,gargle,a medicated solution used for gargling and rinsing the mouth,"['gargle', 'mouthwash']",485,0
485,gargoyle,an ornament consisting of a grotesquely carved figure of a person or animal,['gargoyle'],486,0
486,garlic,aromatic bulb used as seasoning,"['garlic', 'ail']",487,0
487,gasmask,a protective face mask with a filter,"['gasmask', 'respirator', 'gas_helmet']",488,0
488,gazelle,small swift graceful antelope of Africa and Asia having lustrous eyes,['gazelle'],489,0
489,gelatin,an edible jelly made with gelatin and used as a dessert or salad base or a coating for foods,"['gelatin', 'jelly']",490,0
490,gemstone,a crystalline rock that can be cut and polished for jewelry,['gemstone'],491,0
491,generator,engine that converts mechanical energy into electrical energy by electromagnetic induction,['generator'],492,0
492,giant_panda,large black-and-white herbivorous mammal of bamboo forests of China and Tibet,"['giant_panda', 'panda', 'panda_bear']",493,0
493,gift_wrap,attractive wrapping paper suitable for wrapping gifts,['gift_wrap'],494,0
494,ginger,the root of the common ginger plant; used fresh as a seasoning,"['ginger', 'gingerroot']",495,0
495,giraffe,tall animal having a spotted coat and small horns and very long neck and legs,['giraffe'],496,0
496,cincture,a band of material around the waist that strengthens a skirt or trousers,"['cincture', 'sash', 'waistband', 'waistcloth']",497,0
497,glass_(drink_container),a container for holding liquids while drinking,"['glass_(drink_container)', 'drinking_glass']",498,0
498,globe,a sphere on which a map (especially of the earth) is represented,['globe'],499,0
499,glove,handwear covering the hand,['glove'],500,0
500,goat,a common goat,['goat'],501,0
501,goggles,tight-fitting spectacles worn to protect the eyes,['goggles'],502,0
502,goldfish,small golden or orange-red freshwater fishes used as pond or aquarium pets,['goldfish'],503,0
503,golf_club,golf equipment used by a golfer to hit a golf ball,"['golf_club', 'golf-club']",504,0
504,golfcart,a small motor vehicle in which golfers can ride between shots,['golfcart'],505,0
505,gondola_(boat),long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice,['gondola_(boat)'],506,0
506,goose,"loud, web-footed long-necked aquatic birds usually larger than ducks",['goose'],507,0
507,gorilla,largest ape,['gorilla'],508,0
508,gourd,any of numerous inedible fruits with hard rinds,['gourd'],509,0
509,grape,any of various juicy fruit with green or purple skins; grow in clusters,['grape'],510,0
510,grater,utensil with sharp perforations for shredding foods (as vegetables or cheese),['grater'],511,0
511,gravestone,a stone that is used to mark a grave,"['gravestone', 'headstone', 'tombstone']",512,0
512,gravy_boat,a dish (often boat-shaped) for serving gravy or sauce,"['gravy_boat', 'gravy_holder']",513,0
513,green_bean,a common bean plant cultivated for its slender green edible pods,['green_bean'],514,0
514,green_onion,a young onion before the bulb has enlarged,"['green_onion', 'spring_onion', 'scallion']",515,0
515,griddle,cooking utensil consisting of a flat heated surface on which food is cooked,['griddle'],516,0
516,grill,a framework of metal bars used as a partition or a grate,"['grill', 'grille', 'grillwork', 'radiator_grille']",517,0
517,grits,coarsely ground corn boiled as a breakfast dish,"['grits', 'hominy_grits']",518,0
518,grizzly,powerful brownish-yellow bear of the uplands of western North America,"['grizzly', 'grizzly_bear']",519,0
519,grocery_bag,a sack for holding customer's groceries,['grocery_bag'],520,0
520,guitar,a stringed instrument usually having six strings; played by strumming or plucking,['guitar'],521,0
521,gull,mostly white aquatic bird having long pointed wings and short legs,"['gull', 'seagull']",522,0
522,gun,a weapon that discharges a bullet at high velocity from a metal tube,['gun'],523,0
523,hairbrush,a brush used to groom a person's hair,['hairbrush'],524,0
524,hairnet,a small net that someone wears over their hair to keep it in place,['hairnet'],525,0
525,hairpin,a double pronged pin used to hold women's hair in place,['hairpin'],526,0
526,halter_top,a woman's top that fastens behind the back and neck leaving the back and arms uncovered,['halter_top'],527,0
527,ham,meat cut from the thigh of a hog (usually smoked),"['ham', 'jambon', 'gammon']",528,0
528,hamburger,a sandwich consisting of a patty of minced beef served on a bun,"['hamburger', 'beefburger', 'burger']",529,0
529,hammer,a hand tool with a heavy head and a handle; used to deliver an impulsive force by striking,['hammer'],530,0
530,hammock,a hanging bed of canvas or rope netting (usually suspended between two trees),['hammock'],531,0
531,hamper,a basket usually with a cover,['hamper'],532,0
532,hamster,short-tailed burrowing rodent with large cheek pouches,['hamster'],533,0
533,hair_dryer,a hand-held electric blower that can blow warm air onto the hair,['hair_dryer'],534,0
534,hand_glass,a mirror intended to be held in the hand,"['hand_glass', 'hand_mirror']",535,0
535,hand_towel,a small towel used to dry the hands or face,"['hand_towel', 'face_towel']",536,0
536,handcart,wheeled vehicle that can be pushed by a person,"['handcart', 'pushcart', 'hand_truck']",537,0
537,handcuff,shackle that consists of a metal loop that can be locked around the wrist,['handcuff'],538,0
538,handkerchief,a square piece of cloth used for wiping the eyes or nose or as a costume accessory,['handkerchief'],539,0
539,handle,the appendage to an object that is designed to be held in order to use or move it,"['handle', 'grip', 'handgrip']",540,0
540,handsaw,a saw used with one hand for cutting wood,"['handsaw', ""carpenter's_saw""]",541,0
541,hardback_book,a book with cardboard or cloth or leather covers,"['hardback_book', 'hardcover_book']",542,0
542,harmonium,a free-reed instrument in which air is forced through the reeds by bellows,"['harmonium', 'organ_(musical_instrument)', 'reed_organ_(musical_instrument)']",543,0
543,hat,"headwear that protects the head from bad weather, sun, or worn for fashion",['hat'],544,0
544,hatbox,a round piece of luggage for carrying hats,['hatbox'],545,0
545,veil,a garment that covers the head OR face,['veil'],546,0
546,headband,a band worn around or over the head,['headband'],547,0
547,headboard,a vertical board or panel forming the head of a bedstead,['headboard'],548,0
548,headlight,a powerful light with reflector; attached to the front of an automobile or locomotive,"['headlight', 'headlamp']",549,0
549,headscarf,a kerchief worn over the head and tied under the chin,['headscarf'],550,0
550,headset,receiver consisting of a pair of headphones,['headset'],551,0
551,headstall_(for_horses),the band that is the part of a bridle that fits around a horse's head,"['headstall_(for_horses)', 'headpiece_(for_horses)']",552,0
552,heart,a muscular organ; its contractions move the blood through the body,['heart'],553,0
553,heater,device that heats water or supplies warmth to a room,"['heater', 'warmer']",554,0
554,helicopter,an aircraft without wings that obtains its lift from the rotation of overhead blades,['helicopter'],555,0
555,helmet,a protective headgear made of hard material to resist blows,['helmet'],556,0
556,heron,grey or white wading bird with long neck and long legs and (usually) long bill,['heron'],557,0
557,highchair,a chair for feeding a very young child,"['highchair', 'feeding_chair']",558,0
558,hinge,a joint that holds two parts together so that one can swing relative to the other,['hinge'],559,0
559,hippopotamus,massive thick-skinned animal living in or around rivers of tropical Africa,['hippopotamus'],560,0
560,hockey_stick,sports implement consisting of a stick used by hockey players to move the puck,['hockey_stick'],561,0
561,hog,domestic swine,"['hog', 'pig']",562,0
562,home_plate_(baseball),(baseball) a rubber slab where the batter stands; it must be touched by a base runner in order to score,"['home_plate_(baseball)', 'home_base_(baseball)']",563,0
563,honey,a sweet yellow liquid produced by bees,['honey'],564,0
564,fume_hood,metal covering leading to a vent that exhausts smoke or fumes,"['fume_hood', 'exhaust_hood']",565,0
565,hook,a curved or bent implement for suspending or pulling something,['hook'],566,0
566,hookah,a tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water,"['hookah', 'narghile', 'nargileh', 'sheesha', 'shisha', 'water_pipe']",567,0
567,hornet,large stinging wasp,['hornet'],568,0
568,horse,a common horse,['horse'],569,0
569,hose,a flexible pipe for conveying a liquid or gas,"['hose', 'hosepipe']",570,0
570,hot-air_balloon,balloon for travel through the air in a basket suspended below a large bag of heated air,['hot-air_balloon'],571,0
571,hotplate,a portable electric appliance for heating or cooking or keeping food warm,['hotplate'],572,0
572,hot_sauce,a pungent peppery sauce,['hot_sauce'],573,0
573,hourglass,a sandglass timer that runs for sixty minutes,['hourglass'],574,0
574,houseboat,a barge that is designed and equipped for use as a dwelling,['houseboat'],575,0
575,hummingbird,tiny American bird having brilliant iridescent plumage and long slender bills,['hummingbird'],576,0
576,hummus,a thick spread made from mashed chickpeas,"['hummus', 'humus', 'hommos', 'hoummos', 'humous']",577,0
577,polar_bear,white bear of Arctic regions,['polar_bear'],578,0
578,icecream,frozen dessert containing cream and sugar and flavoring,['icecream'],579,0
579,popsicle,ice cream or water ice on a small wooden stick,['popsicle'],580,0
580,ice_maker,an appliance included in some electric refrigerators for making ice cubes,['ice_maker'],581,0
581,ice_pack,a waterproof bag filled with ice: applied to the body (especially the head) to cool or reduce swelling,"['ice_pack', 'ice_bag']",582,0
582,ice_skate,skate consisting of a boot with a steel blade fitted to the sole,['ice_skate'],583,0
583,igniter,a substance or device used to start a fire,"['igniter', 'ignitor', 'lighter']",584,0
584,inhaler,a dispenser that produces a chemical vapor to be inhaled through mouth or nose,"['inhaler', 'inhalator']",585,0
585,iPod,a pocket-sized device used to play music files,['iPod'],586,0
586,iron_(for_clothing),home appliance consisting of a flat metal base that is heated and used to smooth cloth,"['iron_(for_clothing)', 'smoothing_iron_(for_clothing)']",587,0
587,ironing_board,narrow padded board on collapsible supports; used for ironing clothes,['ironing_board'],588,0
588,jacket,a waist-length coat,['jacket'],589,0
589,jam,preserve of crushed fruit,['jam'],590,0
590,jar,a vessel (usually cylindrical) with a wide mouth and without handles,['jar'],591,0
591,jean,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear,"['jean', 'blue_jean', 'denim']",592,0
592,jeep,a car suitable for traveling over rough terrain,"['jeep', 'landrover']",593,0
593,jelly_bean,sugar-glazed jellied candy,"['jelly_bean', 'jelly_egg']",594,0
594,jersey,a close-fitting pullover shirt,"['jersey', 'T-shirt', 'tee_shirt']",595,0
595,jet_plane,an airplane powered by one or more jet engines,"['jet_plane', 'jet-propelled_plane']",596,0
596,jewel,a precious or semiprecious stone incorporated into a piece of jewelry,"['jewel', 'gem', 'precious_stone']",597,0
597,jewelry,an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems),"['jewelry', 'jewellery']",598,0
598,joystick,a control device for computers consisting of a vertical handle that can move freely in two directions,['joystick'],599,0
599,jumpsuit,one-piece garment fashioned after a parachutist's uniform,['jumpsuit'],600,0
600,kayak,a small canoe consisting of a light frame made watertight with animal skins,['kayak'],601,0
601,keg,small cask or barrel,['keg'],602,0
602,kennel,outbuilding that serves as a shelter for a dog,"['kennel', 'doghouse']",603,0
603,kettle,a metal pot for stewing or boiling; usually has a lid,"['kettle', 'boiler']",604,0
604,key,metal instrument used to unlock a lock,['key'],605,0
605,keycard,a plastic card used to gain access typically to a door,['keycard'],606,0
606,kilt,a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland,['kilt'],607,0
607,kimono,a loose robe; imitated from robes originally worn by Japanese,['kimono'],608,0
608,kitchen_sink,a sink in a kitchen,['kitchen_sink'],609,0
609,kitchen_table,a table in the kitchen,['kitchen_table'],610,0
610,kite,plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string,['kite'],611,0
611,kitten,young domestic cat,"['kitten', 'kitty']",612,0
612,kiwi_fruit,fuzzy brown egg-shaped fruit with slightly tart green flesh,['kiwi_fruit'],613,0
613,knee_pad,protective garment consisting of a pad worn by football or baseball or hockey players,['knee_pad'],614,0
614,knife,tool with a blade and point used as a cutting instrument,['knife'],615,0
615,knitting_needle,needle consisting of a slender rod with pointed ends; usually used in pairs,['knitting_needle'],616,0
616,knob,a round handle often found on a door,['knob'],617,0
617,knocker_(on_a_door),a device (usually metal and ornamental) attached by a hinge to a door,"['knocker_(on_a_door)', 'doorknocker']",618,0
618,koala,sluggish tailless Australian marsupial with grey furry ears and coat,"['koala', 'koala_bear']",619,0
619,lab_coat,a light coat worn to protect clothing from substances used while working in a laboratory,"['lab_coat', 'laboratory_coat']",620,0
620,ladder,steps consisting of two parallel members connected by rungs,['ladder'],621,0
621,ladle,a spoon-shaped vessel with a long handle frequently used to transfer liquids,['ladle'],622,0
622,ladybug,"small round bright-colored and spotted beetle, typically red and black","['ladybug', 'ladybeetle', 'ladybird_beetle']",623,0
623,lamb_(animal),young sheep,['lamb_(animal)'],624,0
624,lamb-chop,chop cut from a lamb,"['lamb-chop', 'lambchop']",625,0
625,lamp,a piece of furniture holding one or more electric light bulbs,['lamp'],626,0
626,lamppost,a metal post supporting an outdoor lamp (such as a streetlight),['lamppost'],627,0
627,lampshade,a protective ornamental shade used to screen a light bulb from direct view,['lampshade'],628,0
628,lantern,light in a transparent protective case,['lantern'],629,0
629,lanyard,"a cord worn around the neck to hold a knife or whistle, etc.","['lanyard', 'laniard']",630,0
630,laptop_computer,a portable computer small enough to use in your lap,"['laptop_computer', 'notebook_computer']",631,0
631,lasagna,baked dish of layers of lasagna pasta with sauce and cheese and meat or vegetables,"['lasagna', 'lasagne']",632,0
632,latch,a bar that can be lowered or slid into a groove to fasten a door or gate,['latch'],633,0
633,lawn_mower,garden tool for mowing grass on lawns,['lawn_mower'],634,0
634,leather,an animal skin made smooth and flexible by removing the hair and then tanning,['leather'],635,0
635,legging_(clothing),a garment covering the leg (usually extending from the knee to the ankle),"['legging_(clothing)', 'leging_(clothing)', 'leg_covering']",636,0
636,Lego,a child's plastic construction set for making models from blocks,"['Lego', 'Lego_set']",637,0
637,legume,the fruit or seed of bean or pea plants,['legume'],638,0
638,lemon,yellow oval fruit with juicy acidic flesh,['lemon'],639,0
639,lemonade,sweetened beverage of diluted lemon juice,['lemonade'],640,0
640,lettuce,leafy plant commonly eaten in salad or on sandwiches,['lettuce'],641,0
641,license_plate,a plate mounted on the front and back of car and bearing the car's registration number,"['license_plate', 'numberplate']",642,0
642,life_buoy,a ring-shaped life preserver used to prevent drowning (NOT a life-jacket or vest),"['life_buoy', 'lifesaver', 'life_belt', 'life_ring']",643,0
643,life_jacket,life preserver consisting of a sleeveless jacket of buoyant or inflatable design,"['life_jacket', 'life_vest']",644,0
644,lightbulb,lightblub/source of light,['lightbulb'],645,0
645,lightning_rod,a metallic conductor that is attached to a high point and leads to the ground,"['lightning_rod', 'lightning_conductor']",646,0
646,lime,the green acidic fruit of any of various lime trees,['lime'],647,0
647,limousine,long luxurious car; usually driven by a chauffeur,['limousine'],648,0
648,lion,large gregarious predatory cat of Africa and India,['lion'],649,0
649,lip_balm,a balm applied to the lips,['lip_balm'],650,0
650,liquor,liquor or beer,"['liquor', 'spirits', 'hard_liquor', 'liqueur', 'cordial']",651,0
651,lizard,a reptile with usually two pairs of legs and a tapering tail,['lizard'],652,0
652,log,a segment of the trunk of a tree when stripped of branches,['log'],653,0
653,lollipop,hard candy on a stick,['lollipop'],654,0
654,speaker_(stero_equipment),electronic device that produces sound often as part of a stereo system,['speaker_(stero_equipment)'],655,0
655,loveseat,small sofa that seats two people,['loveseat'],656,0
656,machine_gun,a rapidly firing automatic gun,['machine_gun'],657,0
657,magazine,a paperback periodic publication,['magazine'],658,0
658,magnet,a device that attracts iron and produces a magnetic field,['magnet'],659,0
659,mail_slot,a slot (usually in a door) through which mail can be delivered,['mail_slot'],660,0
660,mailbox_(at_home),a private box for delivery of mail,"['mailbox_(at_home)', 'letter_box_(at_home)']",661,0
661,mallard,wild dabbling duck from which domestic ducks are descended,['mallard'],662,0
662,mallet,a sports implement with a long handle and a hammer-like head used to hit a ball,['mallet'],663,0
663,mammoth,any of numerous extinct elephants widely distributed in the Pleistocene,['mammoth'],664,0
664,manatee,sirenian mammal of tropical coastal waters of America,['manatee'],665,0
665,mandarin_orange,a somewhat flat reddish-orange loose skinned citrus of China,['mandarin_orange'],666,0
